,Trial Number Mini,Block Number,Search Type 1=Unique 2=Conjunction,Search Target 1=RedT 2=GreenT,Frequency 1 (leftOutColour),Frequency 2 (rightoutcolour),Peripheral Stimulus 3=LeftOutRed  4=LeftOutGreen,Number of targets,Response ,Accuracy,Display Duration (in ms)
1,1,1,1,2,1,2,3,0,0,0,70
2,2,1,1,2,1,2,3,1,0,0,70
3,3,1,1,2,1,2,3,2,0,0,70
4,4,1,1,2,2,1,4,0,0,0,70
5,5,1,1,2,2,1,4,1,0,0,70
6,6,1,1,2,2,1,4,2,0,0,70
7,1,2,2,2,1,2,4,0,0,0,70
8,2,2,2,2,1,2,4,1,0,0,70
9,3,2,2,2,1,2,4,2,0,0,70
10,4,2,2,2,2,1,3,0,0,0,70
11,5,2,2,2,2,1,3,1,0,0,70
12,6,2,2,2,2,1,3,2,0,0,70
13,1,3,1,2,1,2,3,0,0,0,70
14,2,3,1,2,1,2,3,1,0,0,70
15,3,3,1,2,1,2,3,2,0,0,70
16,4,3,1,2,2,1,4,0,0,0,70
17,5,3,1,2,2,1,4,1,0,0,70
18,6,3,1,2,2,1,4,2,0,0,70
19,1,4,2,2,1,2,4,0,0,0,70
20,2,4,2,2,1,2,4,1,0,0,70
21,3,4,2,2,1,2,4,2,0,0,70
22,4,4,2,2,2,1,3,0,0,0,70
23,5,4,2,2,2,1,3,1,0,0,70
24,6,4,2,2,2,1,3,2,0,0,70
